model,cell_type,n,pearson_r,pearson_p,spearman_r,spearman_p,mae,r2,pearson_r_ci_low,pearson_r_ci_high,bootstrap_status,is_best_model,best_model
RandomForest,plasmacytoid dendritic cell,130,-0.024228186971949964,0.784379746816339,-0.04866767294571257,0.5824129708614165,0.00017507528908920953,-0.17983061691773972,-0.05942220621857507,-0.01985020805418068,ok,False,ElasticNet
ElasticNet,pulmonary alveolar epithelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,pulmonary alveolar epithelial cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,pulmonary alveolar type 1 cell,130,0.16030529297880974,0.06846864429252612,0.1804692194410914,0.03990848070469325,0.0619241653415197,-0.19596225652469434,-0.013770123838998895,0.3240260222547315,ok,False,RandomForest
RandomForest,pulmonary alveolar type 1 cell,130,0.22188288066483747,0.011176596164053258,0.22006609495688273,0.011875333569085784,0.056993239881057645,0.02722170393565737,0.07720501339931325,0.38097950458400237,ok,True,RandomForest
ElasticNet,pulmonary alveolar type 2 cell,130,0.423820846814485,5.046703566864998e-07,0.3891247255349198,4.750510992675849e-06,0.055052402887539736,0.14989634061678647,0.2826767546453882,0.5537880386627694,ok,True,ElasticNet
RandomForest,pulmonary alveolar type 2 cell,130,0.34552937243297055,5.665569631649145e-05,0.3629505931997664,2.1961715942679285e-05,0.055510747879147226,0.10767569544123201,0.19355478723954833,0.49630115803650543,ok,False,ElasticNet
ElasticNet,pulmonary artery endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,pulmonary artery endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,pulmonary neuroendocrine cell,130,-0.16010225832475974,0.06882418007922253,-0.08093208391883296,0.36000363563903764,0.01869348666856097,-0.24363814113990578,-0.27990129539333714,-0.011647498853328041,ok,False,RandomForest
RandomForest,pulmonary neuroendocrine cell,130,-0.016048669714382992,0.856189112520165,-0.006239679529223583,0.9438300368812342,0.018188134991844417,-0.2467362903386805,-0.11495157276232594,0.11468818624294055,ok,True,RandomForest
ElasticNet,respiratory basal cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,respiratory basal cell,130,,,,,0.0,1.0,,,all_nan,False,
